starting savings  18500.00
target            120000.00
status            reachable on 2026-11-30 after 11 months

month     start        income     commitments  net         end
2026-01   18500.00     13680.00   -3170.00     10510.00    29010.00
2026-02   29010.00     13680.00   -3170.00     10510.00    39520.00
2026-03   39520.00     13680.00   -3170.00     10510.00    50030.00
2026-04   50030.00     13680.00   -3170.00     10510.00    60540.00
2026-05   60540.00     13680.00   -3170.00     10510.00    71050.00
2026-06   71050.00     13680.00   -3170.00     10510.00    81560.00
2026-07   81560.00     13680.00   -3170.00     10510.00    92070.00
2026-08   92070.00     10080.00   -3170.00     6910.00     98980.00
2026-09   98980.00     13680.00   -7470.00     6210.00     105190.00
2026-10   105190.00    13680.00   -3170.00     10510.00    115700.00
2026-11   115700.00    13680.00   -3170.00     10510.00    126210.00
